gene_id	asc_0	asc_1	asc_2	asc_3	asc_4	asc_5	asc_6	idc_0	idc_1	idc_2	idc_3	idc_4	idc_5	idc_6	healthy_0	healthy_1	healthy_2	healthy_3	healthy_4	healthy_5	healthy_6
ENSG00000187642	28	1	44	162	16	10	0	27	31	14	0	16	115	12	65	136	61	42	43	147	226
ENSG00000187650	91	57	80	154	49	52	0	505	478	245	530	410	238	433	420	824	724	871	454	647	751
ENSG00000187658	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000187664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	45	37	81	10	26	16
ENSG00000187672	23	59	1	67	2	3	0	41	7	32	140	30	55	21	25	74	14	8	6	47	112
ENSG00000187676	600	261	239	608	363	520	0	750	744	593	713	784	316	965	645	1091	1097	716	679	1105	889
ENSG00000187678	539	361	579	602	695	182	0	2707	4191	1314	2096	4775	1238	2453	3403	1828	2183	5460	2500	1343	2564
ENSG00000187682	0	0	0	0	0	0	0	4	0	0	2	2	2	0	5	16	8	15	0	13	15
ENSG00000187688	905	462	1013	626	1022	657	88	687	360	314	364	709	345	939	1635	553	1032	2093	1096	1313	1160
ENSG00000187689	0	0	0	0	0	0	0	25	0	19	0	0	0	0	0	0	2	0	0	4	0
ENSG00000187690	37	13	6	3	2	0	0	1	1	1	0	0	4	0	6	2	6	5	2	0	4
ENSG00000187699	182	68	15	382	45	54	0	109	79	212	122	79	15	89	272	453	524	396	186	412	711
ENSG00000187701	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187713	42	19	104	86	43	35	11	2130	2505	1589	1699	1645	2756	1851	1199	2034	1747	1665	1403	2061	1649
ENSG00000187714	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000187715	15	12	0	167	5	5	0	6	3	1	1	1	1	3	54	32	22	28	18	46	127
ENSG00000187720	781	223	1202	1366	251	1646	14	11253	14764	21936	13958	6241	11610	10085	629	10811	2667	125	172	4179	4542
ENSG00000187726	6	0	0	0	3	1	0	4	18	13	12	3	4	3	6	15	4	27	0	7	9
ENSG00000187730	30	35	409	98	545	355	0	233	220	93	455	261	343	224	45	40	49	19	96	12	159
ENSG00000187733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000187735	1775	709	708	1812	547	1534	5	4904	5238	30907	9919	7270	2900	6005	2473	3416	3205	4742	2331	4194	3388
ENSG00000187736	4	1	0	0	0	2	0	165	242	243	317	83	35	218	644	689	816	604	804	1105	769
ENSG00000187741	1265	1234	1247	1875	909	4263	2	275	882	524	436	253	445	1192	186	238	114	204	130	246	277
ENSG00000187742	7662	3248	1835	8761	3405	5146	293	5659	5036	2480	4314	3703	2832	2974	4509	8020	6157	4652	3051	5887	5324
ENSG00000187747	97	49	6	104	9	2	0	0	1	1	0	0	1	1	0	4	2	4	2	6	4
ENSG00000187753	48	19	11	73	18	15	0	6	5	8	3	3	5	3	4	10	0	11	3	2	7
ENSG00000187754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187758	149	74	86	269	46	9	0	7	0	1	2	0	1	15	105	49	62	71	119	233	18
ENSG00000187764	1196	347	446	1015	352	285	0	1856	2585	1047	933	1337	943	3363	633	2017	1461	1193	443	1396	1133
ENSG00000187766	0	0	77	37	0	130	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000187772	0	2	14	0	0	171	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0
ENSG00000187773	11	0	0	0	3	2	0	30	2	14	12	7	11	9	0	9	8	73	13	4	88
ENSG00000187775	425	376	490	884	158	259	104	110	133	100	149	55	141	146	313	263	262	464	319	361	388
ENSG00000187778	668	275	571	775	354	551	5	2966	3317	2660	3586	2709	6371	2619	2138	2893	2953	2881	2009	2848	2471
ENSG00000187783	14	13	15	21	2	0	0	2	3	0	78	17	0	3	0	0	0	13	3	0	0
ENSG00000187790	1901	1358	508	3293	569	1861	0	729	806	425	589	443	204	505	280	533	453	734	244	382	636
ENSG00000187791	2	0	0	2	0	0	0	0	0	1	0	0	0	0	2	4	7	17	5	1	4
ENSG00000187792	586	234	239	629	181	307	0	600	600	296	949	589	248	674	486	412	556	438	340	551	646
ENSG00000187796	95	38	290	198	38	97	0	163	95	59	29	96	227	291	102	209	246	147	101	304	64
ENSG00000187800	4025	2374	3316	4413	5331	4560	87	570	209	506	244	373	260	406	6566	4924	5204	19829	3124	5785	6374
ENSG00000187801	290	175	75	388	97	224	0	204	286	152	385	165	54	138	55	38	42	35	22	46	62
ENSG00000187806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187808	4	0	2	0	0	0	0	58	31	24	31	45	80	60	8	7	27	51	16	20	12
ENSG00000187815	540	439	71	1116	144	325	0	470	386	300	791	285	211	471	282	290	278	226	140	270	289
ENSG00000187821	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	2	2	0	0
ENSG00000187823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187824	210	98	15	354	56	154	0	171	69	181	180	97	71	300	439	594	858	754	819	588	485
ENSG00000187833	1	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2
ENSG00000187837	2078	1234	3355	2024	1160	4490	74	1442	266	12347	10070	3663	13356	3297	695	511	368	1143	2588	1110	551
ENSG00000187838	0	1	1	6	0	1	0	0	6	0	2	3	5	5	2893	2298	3577	3623	2554	3043	3398
ENSG00000187840	239	161	233	200	301	643	31	984	2514	7603	6563	980	7756	2257	1744	1327	2066	1010	4799	2533	921
ENSG00000187848	10	4	39	42	5	12	0	4	18	35	0	181	1	14	0	31	4	6	1	15	338
ENSG00000187855	0	0	0	0	0	0	0	19	1	0	3	36	0	0	1	0	4	4	2	1	8
ENSG00000187857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187860	50	52	79	28	30	24	0	189	255	198	263	88	277	165	58	128	126	67	47	104	152
ENSG00000187862	15	7	9	9	9	3	0	13	3	0	1	0	2	10	3	3	9	18	3	0	3
ENSG00000187866	640	213	78	553	427	257	45	2397	2392	1175	1750	1500	401	1597	1788	2327	1927	2447	1185	2189	2355
ENSG00000187867	113	34	7	39	4	6	0	561	1160	92	11	44	85	553	25	80	72	14	4	55	233
ENSG00000187871	164	13	0	3	7	1	0	1	0	0	0	0	0	0	2	4	0	10	26	2	0
ENSG00000187889	85	3	0	13	1	3	0	785	1813	24	22	11	37	280	27	143	78	51	0	11	42
ENSG00000187902	0	0	0	0	0	0	0	7	8	1	27	3	0	4	2	18	9	11	3	8	3
ENSG00000187905	0	0	0	0	0	0	0	2	3	0	9	1	1	1	0	0	0	1	2	0	0
ENSG00000187908	28	4	1	29	8	13	0	79	5	56	2	17	2	235	18	9	8	10	16	6	6
ENSG00000187912	15	25	0	76	3	1	0	86	5	22	3	1	2	36	4	4	2	2	2	1	4
ENSG00000187918	39	19	0	48	1	2	0	1	2	0	0	0	0	0	2	0	0	1	0	0	1
ENSG00000187922	3	0	1	2	0	0	0	1	0	0	0	0	1	0	209	4025	3117	733	1719	1631	164
ENSG00000187942	225	57	154	150	65	22	0	42	12	20	9	44	4	23	251	148	323	1014	244	149	356
ENSG00000187944	1	1	3	8	7	9	0	2	1	4	82	3	5	2	5	18	6	12	0	18	48
ENSG00000187950	38	43	9	71	19	38	0	7	0	13	3	11	0	4	20	20	35	39	24	18	25
ENSG00000187954	282	123	412	375	235	203	0	1774	2201	4022	3251	1707	8319	2519	1461	2084	1830	1918	1502	2539	2403
ENSG00000187955	25266	8094	3110	15060	13677	1550	0	12410	1253	15050	1823	9606	400	5071	2672	14555	14001	5886	4764	10587	24689
ENSG00000187957	0	0	42	5	3	8	0	4	7	8	392	38	6	43	146	28	184	18	308	30	50
ENSG00000187959	36	11	8	59	3	2	0	14	65	12	6	0	3	17	12	18	15	13	4	10	1
ENSG00000187961	153	51	236	246	231	350	0	440	429	225	159	282	788	255	1166	1221	921	621	467	1642	1085
ENSG00000187969	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000187980	6	4	0	0	1	0	0	250	195	67	88	51	23	46	2	6	5	0	0	3	0
ENSG00000187987	39	44	6	57	44	11	0	102	7	18	6	53	0	10	68	114	58	63	24	97	123
ENSG00000187994	54	8	97	46	24	111	0	347	461	1457	1068	156	297	387	429	164	329	289	229	384	165
ENSG00000187997	4	0	0	5	11	0	0	5	3	23	3	2	0	2	2	0	6	5	4	2	12
ENSG00000188000	0	26	0	0	1	0	0	96	5	4	0	124	0	4	5	203	161	17	2	8	12
ENSG00000188001	241	52	291	452	107	58	0	8980	269	461	594	195	688	3643	482	840	548	2187	749	621	563
ENSG00000188010	155	39	30	109	28	232	0	529	1203	1127	1111	561	945	1251	213	433	425	364	279	329	407
ENSG00000188011	1	0	0	0	3	1	0	2	0	0	0	0	0	1	26	5	17	17	12	5	12
ENSG00000188015	1	3	25	37	2	4	0	51	15	35	4	55	53	71	86	42	205	101	69	136	131
ENSG00000188021	1442	689	409	1346	816	1134	0	4942	6690	4238	14012	5654	2046	4183	1829	2562	2465	2628	1666	2542	2284
ENSG00000188026	933	274	733	1014	321	413	22	595	597	303	493	700	484	859	692	720	754	1171	429	880	756
ENSG00000188032	21	6	13	37	7	6	0	1	56	1	3	0	3	2	4	23	7	5	2	4	3
ENSG00000188033	236	110	94	244	75	173	0	523	523	210	601	332	279	395	190	210	228	327	151	273	252
ENSG00000188037	15	10	31	16	8	1	0	23	9	4	5	20	8	11	12	14	13	10	2	15	31
